ticker,market,split,config_key,retest_line,entry_delay,signal_date,entry_date,exit_date,entry_index,exit_index,entry_price,exit_price,stop_price,target_price,exit_reason,gross_return_pct,return_pct,r_multiple,win,open_gap_vs_confirm_close_pct,pullback_volume_ratio,rebound_volume_ratio,smma200_slope_pct20,atr_tolerance,average_turnover_20,market_regime,earnings_distance_bars
006800.KS,KRX,test,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-04-02,2026-04-09,2026-05-06,658,675,66900.0,79300.0,60700.0,79300.0,target,18.535127,18.335127,1.978419,True,8.603896,0.581268,0.906312,20.977999,0.5,209025521606.4719,BULL,-18.0
023530.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-12-02,2025-12-09,2025-12-15,578,582,70780.190144,75234.204348,68553.183042,75234.204348,target,6.292741,6.092741,1.936435,True,-2.010721,0.613584,0.726434,0.90012,0.5,5684864221.5363,BULL,151.0
023530.KS,KRX,test,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-04-08,2026-04-15,2026-04-16,662,663,105310.470656,119206.291285,98362.560341,119206.291285,target,13.195099,12.995099,1.969686,True,-1.026123,0.670491,0.865368,4.730556,0.5,13863507527.3547,BULL,67.0
383220.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-02-05,2026-02-12,2026-03-04,622,632,72800.0,68200.0,68900.0,80600.0,stop_gap,-6.318681,-6.518681,-1.216821,False,-1.086957,0.763331,1.191044,0.100531,0.5,9039362345.0,BULL,20.0
277810.KQ,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-09-11,2025-09-18,2025-09-25,525,530,291000.0,325000.0,274000.0,325000.0,target,11.683849,11.483849,1.965765,True,0.692042,0.586012,0.891332,2.226974,0.5,45484612675.0,BULL,
042660.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-08-22,2025-08-29,2025-09-26,511,531,109400.0,107000.0,99100.0,130000.0,time,-2.193784,-2.393784,-0.254252,False,-4.035088,0.672674,0.513943,10.235036,0.5,441100797725.0,BULL,-12.0
TSLA,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-08-22,2025-08-25,2025-09-12,523,536,338.899994,387.499969,314.600006,387.499969,target,14.340506,14.240506,1.986053,True,-0.326466,0.877958,1.140454,1.504433,0.5,25929756855.005,BULL,-23.0
BRK-B,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-10-06,2025-10-07,2025-10-10,553,556,500.160004,493.220001,493.220001,514.040009,stop,-1.387556,-1.487556,-1.072069,False,0.028002,0.823551,0.828108,0.749144,0.5,2064099599.016,BULL,19.0
BRK-B,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-11-21,2025-11-24,2025-11-28,587,590,501.899994,514.600006,495.549988,514.600006,target,2.530387,2.430387,1.920961,True,-0.424572,0.870083,1.085224,0.601622,0.5,2827666576.2013,BULL,-15.0
LLY,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-10-21,2025-10-22,2025-10-24,564,566,794.533101,823.492232,780.053535,823.492232,target,3.644799,3.544799,1.945127,True,-0.146323,1.042059,0.576543,0.497401,0.5,2871831514.2273,BULL,6.0
JPM,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2026-02-09,2026-02-10,2026-02-12,639,641,319.468484,302.621011,302.621011,353.163429,stop,-5.273595,-5.373595,-1.018962,False,0.139694,0.752899,0.90014,1.790555,0.5,3981509123.7344,BULL,-19.0
XOM,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-09-10,2025-09-11,2025-09-26,535,546,108.963284,114.929853,105.98,114.929853,target,5.475761,5.375761,1.963475,True,-0.977777,1.033972,1.052278,0.270967,0.5,1632514747.307,BULL,-28.0
