ticker,market,date,dividend,split_ratio,raw_overnight_gap_pct,adjusted_overnight_gap_pct,absolute_gap_reduction_pct_point,raw_smma200_change_pct,adjusted_smma200_change_pct,smma200_jump_reduction_pct_point
REGN,US,2026-05-20,0.94,0.0,0.6378,0.7881,-0.1503,-0.052294,-0.050311,0.001982
PGR,US,2023-10-04,0.1,0.0,0.0072,0.079,-0.0718,,,
PGR,US,2024-01-18,0.85,0.0,-1.4245,-0.9288,0.4957,,,
PGR,US,2024-04-03,0.1,0.0,0.1238,0.1715,-0.0477,,,
PGR,US,2024-07-03,0.1,0.0,-0.0995,-0.0521,0.0473,0.103064,0.104914,-0.00185
PGR,US,2024-10-03,0.1,0.0,-0.1533,-0.114,0.0393,0.160041,0.16164,-0.001599
PGR,US,2025-01-10,4.6,0.0,-2.6109,-0.7364,1.8745,0.0661,0.077913,-0.011813
PGR,US,2025-04-03,0.1,0.0,-1.0383,-1.0031,0.0352,0.145506,0.155156,-0.00965
PGR,US,2025-07-03,0.1,0.0,0.0233,0.0621,-0.0388,0.054563,0.060479,-0.005916
PGR,US,2025-10-02,0.1,0.0,-0.8156,-0.7753,0.0403,0.010208,0.01433,-0.004121
PGR,US,2026-01-02,13.6,0.0,-5.8756,0.1027,5.7729,-0.048799,-0.017278,0.031522
PGR,US,2026-04-02,0.1,0.0,0.2017,0.2535,-0.0519,-0.070499,-0.047902,0.022597
PGR,US,2026-07-02,0.1,0.0,0.3063,0.3508,-0.0445,0.026207,0.047085,-0.020878
KLAC,US,2023-08-14,0.13,0.0,-0.9249,-0.6552,0.2696,,,
KLAC,US,2023-11-14,0.145,0.0,2.3739,2.6556,-0.2818,,,
KLAC,US,2024-02-15,0.145,0.0,0.1774,0.4001,-0.2226,,,
KLAC,US,2024-05-14,0.145,0.0,-0.9662,-0.7647,0.2015,0.136313,0.139188,-0.002876
KLAC,US,2024-08-15,0.145,0.0,2.2182,2.4052,-0.187,0.159804,0.16297,-0.003166
KLAC,US,2024-11-18,0.17,0.0,-0.0374,0.2399,-0.2025,-0.031459,-0.028611,0.002848
KLAC,US,2025-02-24,0.17,0.0,1.0195,1.2477,-0.2282,0.049732,0.053367,-0.003635
KLAC,US,2025-05-19,0.19,0.0,-1.3246,-1.0871,0.2375,0.081417,0.085654,-0.004237
KLAC,US,2025-08-18,0.19,0.0,-0.2172,-0.0,0.2172,0.104371,0.108675,-0.004304
KLAC,US,2025-11-17,0.19,0.0,0.4919,0.6605,-0.1686,0.189805,0.194129,-0.004324
KLAC,US,2026-02-17,0.19,0.0,-1.2724,-1.1441,0.1283,0.268039,0.272079,-0.00404
KLAC,US,2026-05-18,0.23,0.0,0.9178,1.0466,-0.1288,0.270339,0.273801,-0.003462
KLAC,US,2026-06-12,0.0,10.0,-1.4778,-1.4778,0.0,0.54853,0.552571,-0.004041
ZTS,US,2023-10-31,0.375,0.0,0.3248,0.565,-0.2402,,,
ZTS,US,2024-01-18,0.432,0.0,0.2776,0.5051,-0.2274,,,
ZTS,US,2024-04-18,0.432,0.0,-0.204,0.0805,0.1235,,,
ZTS,US,2024-07-18,0.432,0.0,-0.8185,-0.5825,0.2359,0.002894,0.006052,-0.003157
ZTS,US,2024-10-31,0.432,0.0,-1.379,-1.1453,0.2337,-0.006046,-0.002768,0.003279
ZTS,US,2025-01-21,0.5,0.0,0.4521,0.7558,-0.3037,-0.031428,-0.027594,0.003834
ZTS,US,2025-04-21,0.5,0.0,0.0,0.3375,-0.3375,-0.079333,-0.075326,0.004007
ZTS,US,2025-07-18,0.5,0.0,-0.02,0.3143,-0.2943,-0.064452,-0.059866,0.004586
ZTS,US,2025-10-31,0.5,0.0,-1.0618,-0.7173,0.3445,-0.059696,-0.054826,0.00487
