ticker,market,kind,profile,signal_date,price,target,return_pct_needed,predicted_confidence,predicted_days,hit,days_to_hit,stop_first,actionable,realized_return_pct,price_bucket,liquidity_bucket,volatility_bucket,average_turnover,atr_pct,next_open_gap_pct,trend_score,downside_risk_score,breakout_probability_pct,volatility_expanding,strategy_eligible
XOM,US,risk,aggressive,2025-10-02,108.15536499023438,122.36,13.13,13.5,107.8,False,,False,False,,50_200,liquid,normal,1860185771.27,1.83,0.548,1.0,24.0,8.0,False,False
XOM,US,pullback,pullback_main,2025-10-02,108.15536499023438,115.0262,6.35,32.1,,True,27.0,False,True,5.62,50_200,liquid,normal,1860185771.27,1.83,0.548,,,,,True
XOM,US,pullback,pullback_ext,2025-10-02,108.15536499023438,123.3162,14.02,12.9,,True,64.0,False,True,13.25,50_200,liquid,normal,1860185771.27,1.83,0.548,,,,,True
XOM,US,risk,conservative,2025-10-23,112.71327209472656,115.025,2.05,61.7,8.0,True,12.0,False,True,1.58,50_200,liquid,normal,1458554488.39,1.76,0.319,4.0,0.0,56.0,False,True
XOM,US,risk,balanced,2025-10-23,112.71327209472656,120.775,7.15,29.4,30.9,False,,False,False,,50_200,liquid,normal,1458554488.39,1.76,0.319,4.0,0.0,56.0,False,False
XOM,US,risk,aggressive,2025-10-23,112.71327209472656,126.815,12.51,22.9,74.8,False,,False,False,,50_200,liquid,normal,1458554488.39,1.76,0.319,4.0,0.0,56.0,False,False
XOM,US,pullback,pullback_main,2025-10-23,112.71327209472656,115.0262,2.05,38.0,,True,12.0,False,True,1.58,50_200,liquid,normal,1458554488.39,1.76,0.319,,,,,True
XOM,US,pullback,pullback_ext,2025-10-23,112.71327209472656,128.4404,13.95,16.1,,True,56.0,False,True,13.44,50_200,liquid,normal,1458554488.39,1.76,0.319,,,,,True
XOM,US,risk,conservative,2025-11-13,115.44412231445312,117.41,1.7,63.9,5.9,True,17.0,False,True,0.96,50_200,liquid,normal,1531384437.38,1.632,0.586,4.0,0.0,83.0,False,True
XOM,US,risk,balanced,2025-11-13,115.44412231445312,123.275,6.78,35.9,24.4,False,,True,True,-3.72,50_200,liquid,normal,1531384437.38,1.632,0.586,4.0,0.0,83.0,False,True
XOM,US,risk,aggressive,2025-11-13,115.44412231445312,129.44,12.12,21.5,62.6,False,,True,True,-3.65,50_200,liquid,normal,1531384437.38,1.632,0.586,4.0,0.0,83.0,False,True
XOM,US,pullback,pullback_main,2025-11-13,115.44412231445312,117.4072,1.7,39.2,,True,17.0,False,True,0.96,50_200,liquid,normal,1531384437.38,1.632,0.586,,,,,True
XOM,US,pullback,pullback_ext,2025-11-13,115.44412231445312,129.8953,12.52,16.3,,True,45.0,False,True,11.71,50_200,liquid,normal,1531384437.38,1.632,0.586,,,,,True
XOM,US,risk,conservative,2025-12-05,114.24810791015625,117.16999999999999,2.56,57.0,10.4,True,2.0,False,True,3.04,50_200,liquid,normal,1686357743.35,1.974,-0.609,2.0,24.0,42.2,False,True
XOM,US,risk,balanced,2025-12-05,114.24810791015625,123.03,7.69,26.6,37.5,False,,False,False,,50_200,liquid,normal,1686357743.35,1.974,-0.609,2.0,24.0,42.2,False,False
XOM,US,risk,aggressive,2025-12-05,114.24810791015625,129.18,13.07,19.4,84.2,False,,False,False,,50_200,liquid,normal,1686357743.35,1.974,-0.609,2.0,24.0,42.2,False,False
XOM,US,pullback,pullback_main,2025-12-05,114.24810791015625,117.4072,2.77,35.6,,True,2.0,False,True,3.25,50_200,liquid,normal,1686357743.35,1.974,-0.609,,,,,True
XOM,US,pullback,pullback_ext,2025-12-05,114.24810791015625,123.6654,8.24,14.9,,True,25.0,False,True,8.76,50_200,liquid,normal,1686357743.35,1.974,-0.609,,,,,True
XOM,US,risk,conservative,2025-12-29,118.1596450805664,121.66,2.96,60.2,11.9,True,4.0,False,True,2.33,50_200,liquid,normal,1862035213.27,1.687,0.473,4.0,0.0,54.0,False,True
XOM,US,risk,balanced,2025-12-29,118.1596450805664,127.745,8.11,26.8,40.1,False,,False,False,,50_200,liquid,normal,1862035213.27,1.687,0.473,4.0,0.0,54.0,False,False
XOM,US,risk,aggressive,2025-12-29,118.1596450805664,134.13,13.52,18.1,86.7,False,,False,False,,50_200,liquid,normal,1862035213.27,1.687,0.473,4.0,0.0,54.0,False,False
XOM,US,pullback,pullback_main,2025-12-29,118.1596450805664,126.1042,6.72,39.2,,True,11.0,False,True,6.07,50_200,liquid,normal,1862035213.27,1.687,0.473,,,,,True
XOM,US,pullback,pullback_ext,2025-12-29,118.1596450805664,132.4094,12.06,16.3,,True,17.0,False,True,11.38,50_200,liquid,normal,1862035213.27,1.687,0.473,,,,,True
XOM,US,risk,conservative,2026-01-21,130.982421875,134.92000000000002,3.01,59.3,8.1,True,5.0,False,True,3.29,50_200,liquid,normal,2035872862.62,2.22,-0.419,4.0,8.0,86.2,True,True
XOM,US,risk,balanced,2026-01-21,130.982421875,141.67000000000002,8.16,34.1,28.0,True,9.0,False,True,8.46,50_200,liquid,normal,2035872862.62,2.22,-0.419,4.0,8.0,86.2,True,True
XOM,US,risk,aggressive,2026-01-21,130.982421875,148.755,13.57,22.3,59.5,True,14.0,False,True,13.9,50_200,liquid,normal,2035872862.62,2.22,-0.419,4.0,8.0,86.2,True,True
XOM,US,pullback,pullback_main,2026-01-21,130.982421875,132.4111,1.09,32.8,,True,2.0,False,True,1.37,50_200,liquid,normal,2035872862.62,2.22,-0.419,,,,,True
XOM,US,pullback,pullback_ext,2026-01-21,130.982421875,144.5471,10.36,14.6,,True,10.0,False,True,10.67,50_200,liquid,normal,2035872862.62,2.22,-0.419,,,,,True
XOM,US,risk,conservative,2026-02-11,152.50074768066406,158.6,4.0,60.7,10.5,True,26.0,False,True,4.28,50_200,liquid,normal,2982770910.69,2.271,-0.414,4.0,0.0,92.0,False,True
XOM,US,risk,balanced,2026-02-11,152.50074768066406,166.525,9.2,34.1,33.1,True,31.0,False,True,9.5,50_200,liquid,normal,2982770910.69,2.271,-0.414,4.0,0.0,92.0,False,True
XOM,US,risk,aggressive,2026-02-11,152.50074768066406,175.20499999999998,14.89,22.4,64.7,False,,True,True,-3.84,50_200,liquid,normal,2982770910.69,2.271,-0.414,4.0,0.0,92.0,False,True
XOM,US,pullback,pullback_main,2026-02-11,152.50074768066406,155.3822,1.89,34.4,,False,,True,True,-4.3,50_200,liquid,normal,2982770910.69,2.271,-0.414,,,,,True
XOM,US,pullback,pullback_ext,2026-02-11,152.50074768066406,179.7377,17.86,15.6,,False,,True,True,-4.3,50_200,liquid,normal,2982770910.69,2.271,-0.414,,,,,True
XOM,US,risk,conservative,2026-03-05,148.78024291992188,152.64,2.59,58.9,6.2,True,5.0,False,True,0.84,50_200,liquid,normal,3114952833.06,2.758,1.585,3.0,19.0,37.3,False,True
XOM,US,risk,balanced,2026-03-05,148.78024291992188,160.97,8.19,30.9,23.8,False,,False,False,,50_200,liquid,normal,3114952833.06,2.758,1.585,3.0,19.0,37.3,False,False
XOM,US,risk,aggressive,2026-03-05,148.78024291992188,172.14499999999998,15.7,25.8,56.2,False,,False,False,,50_200,liquid,normal,3114952833.06,2.758,1.585,3.0,19.0,37.3,False,False
XOM,US,pullback,pullback_main,2026-03-05,148.78024291992188,157.514,5.87,39.2,,True,8.0,False,True,4.07,50_200,liquid,normal,3114952833.06,2.758,1.585,,,,,True
XOM,US,pullback,pullback_ext,2026-03-05,148.78024291992188,202.672,36.22,16.3,,False,,True,True,-7.14,50_200,liquid,normal,3114952833.06,2.758,1.585,,,,,True
XOM,US,risk,conservative,2026-03-26,163.25759887695312,167.345,2.5,59.9,6.3,True,1.0,False,True,2.26,50_200,liquid,normal,3758913787.85,2.408,0.091,4.0,7.0,64.5,False,True
XOM,US,risk,balanced,2026-03-26,163.25759887695312,176.66500000000002,8.21,34.2,24.0,False,,True,True,-6.27,50_200,liquid,normal,3758913787.85,2.408,0.091,4.0,7.0,64.5,False,True
XOM,US,risk,aggressive,2026-03-26,163.25759887695312,189.035,15.79,20.5,58.1,False,,True,True,-4.57,50_200,liquid,normal,3758913787.85,2.408,0.091,4.0,7.0,64.5,False,True
XOM,US,pullback,pullback_main,2026-03-26,163.25759887695312,165.2807,1.24,35.4,,True,1.0,False,True,1.0,50_200,liquid,normal,3758913787.85,2.408,0.091,,,,,True
XOM,US,pullback,pullback_ext,2026-03-26,163.25759887695312,195.7707,19.92,14.8,,False,,True,True,-5.05,50_200,liquid,normal,3758913787.85,2.408,0.091,,,,,True
XOM,US,risk,conservative,2026-04-17,144.5169677734375,149.88,3.71,48.2,7.9,True,7.0,False,True,2.9,50_200,liquid,high,4054728191.24,4.262,0.642,0.0,78.0,11.8,False,True
XOM,US,risk,balanced,2026-04-17,144.5169677734375,157.375,8.9,27.0,27.4,False,,False,False,,50_200,liquid,high,4054728191.24,4.262,0.642,0.0,78.0,11.8,False,False
XOM,US,risk,aggressive,2026-04-17,144.5169677734375,170.04000000000002,17.66,26.3,60.2,False,,False,False,,50_200,liquid,high,4054728191.24,4.262,0.642,0.0,78.0,11.8,False,False
XOM,US,pullback,pullback_main,2026-04-17,144.5169677734375,174.0934,20.47,24.1,,False,,False,True,8.61,50_200,liquid,high,4054728191.24,4.262,0.642,,,,,True
XOM,US,pullback,pullback_ext,2026-04-17,144.5169677734375,199.5488,38.08,11.1,,False,,False,True,8.61,50_200,liquid,high,4054728191.24,4.262,0.642,,,,,True
MA,US,risk,conservative,2025-06-16,564.3845825195312,578.0799999999999,2.43,56.8,13.7,False,,True,True,-0.85,over_500,liquid,normal,1333663139.34,1.696,-0.695,1.0,24.0,21.9,False,True
MA,US,risk,balanced,2025-06-16,564.3845825195312,606.98,7.55,24.4,49.5,False,,False,False,,over_500,liquid,normal,1333663139.34,1.696,-0.695,1.0,24.0,21.9,False,False
MA,US,risk,aggressive,2025-06-16,564.3845825195312,637.3299999999999,12.92,14.1,114.0,False,,False,False,,over_500,liquid,normal,1333663139.34,1.696,-0.695,1.0,24.0,21.9,False,False
MA,US,pullback,pullback_main,2025-06-16,564.3845825195312,590.2285,4.58,35.8,,False,,True,True,-2.87,over_500,liquid,normal,1333663139.34,1.696,-0.695,,,,,True
